id,created_at,text,retweet,favorite
1325261759456874499,2020-11-08 02:20:00,From the bottom of my heart: thank you. https://t.co/s76oHFkr66,57934,525053
1325259242631274496,2020-11-08 02:10:00,"A nation united.

A nation strengthened.

A nation healed.

The United States of America.",52472,641195
1325258739318927361,2020-11-08 02:08:00,"With full hearts and steady hands, with faith in America and in each other, with a love of country — and a thirst f… https://t.co/zFDJEZRXJX",32901,458678
1325257984562192385,2020-11-08 02:05:00,"Tonight, the whole world is watching America. I believe at our best America is a beacon for the globe.

And we lead… https://t.co/kvF4mS7KRz",20392,278327
1325257229625421825,2020-11-08 02:02:00,Especially for those moments when this campaign was at its lowest — the African American community stood up again f… https://t.co/1XDpWyPzHB,29432,366577
1325256474415800322,2020-11-08 01:59:00,"I believe that this is part of the mandate from the American people. They want us to cooperate.

That’s the choice… https://t.co/5qMwrZdbY2",6951,115068
1325255719336243200,2020-11-08 01:56:00,"Now that the campaign is over—what is the people’s will? What is our mandate?

I believe it is this: Americans have… https://t.co/iaCfmriHTn",13538,189129
1325254964415881216,2020-11-08 01:53:00,"We cannot repair the economy, restore our vitality, or relish life’s most precious moments — hugging a grandchild,… https://t.co/ekI1l6BXBe",14466,204546
1325254461049073664,2020-11-08 01:51:00,"The Bible tells us that to everything there is a season — a time to build, a time to reap, a time to sow. And a tim… https://t.co/hV2eGq4h5y",30606,282988
1325254209613123584,2020-11-08 01:50:00,"It’s time to put away the harsh rhetoric.

To lower the temperature.

To see each other again.

To listen to each other again.",14830,198436
1325253706061926401,2020-11-08 01:48:00,"To all those who volunteered, worked the polls in the middle of this pandemic, local election officials — you deser… https://t.co/dpY4cIt3B2",9915,179477
1325253454571270144,2020-11-08 01:47:00,"For America’s educators, this is a great day: You’re going to have one of your own in the White House, and Jill is… https://t.co/GynOd5FJe6",49257,537877
1325253203022241792,2020-11-08 01:46:00,"I pledge to be a President who seeks not to divide, but to unify.

Who doesn’t see Red and Blue states, but a Unite… https://t.co/qqaJgAM5Xk",22705,243304
1325252951124762625,2020-11-08 01:45:00,"Folks, the people of this nation have spoken.

They have delivered us a clear victory. A convincing victory.

A victory for “We the People.”",14259,212605
1325247969780621317,2020-11-08 01:25:12,A new day in America has come. Tune in as Vice President-Elect @KamalaHarris and I address the nation. https://t.co/d38F58DHu8,16031,127942
1325129452100100098,2020-11-07 17:34:15,"RT @KamalaHarris: We did it, @JoeBiden. https://t.co/oCgeylsjB4",579526,0
1325118992785223682,2020-11-07 16:52:42,"America, I’m honored that you have chosen me to lead our great country.

The work ahead of us will be hard, but I p… https://t.co/iUORklENs0",613033,3111971
1324926298762870785,2020-11-07 04:07:00,"We may be opponents — but we are not enemies. 

We are Americans.",74251,1068238
1324925795991609348,2020-11-07 04:05:00,We have to remember the purpose of our politics isn’t totally unrelenting warfare.,17992,366584
1324925040660393987,2020-11-07 04:02:00,"I know tensions can be high after a tough election like we just had.

But we need to remain calm. Patient. And let… https://t.co/KTvRnLBiHz",18421,372578
1324924538749026306,2020-11-07 04:00:00,"We are going to be the first Democrats to win Arizona in 24 years.

We are going to be the first Democrats to win G… https://t.co/AYVtcrOi0K",22537,336902
1324924285631176704,2020-11-07 03:59:00,"What is becoming clearer each hour is that record numbers of Americans — from all races, faiths, regions — chose ch… https://t.co/fEqFbEpgkS",17003,222143
1324923025138049027,2020-11-07 03:53:59,The numbers tell us a clear and convincing story: We're going to win this race.,49578,833414
1324921258845204480,2020-11-07 03:46:58,Tune in as I address the nation on the current state of the race. https://t.co/w0er4issEk,9493,94103
1324531952230289408,2020-11-06 02:00:00,Donald Trump is going to court to stop votes from being counted. We have assembled the largest election protection… https://t.co/670hCTUfwm,21287,229669
1324521884394921985,2020-11-06 01:20:00,"Keep the faith, folks.",61409,973072
1324511817658441728,2020-11-06 00:40:00,"No one is going to take our democracy away from us. Not now, not ever.

America has come too far, fought too many b… https://t.co/msRdmQ6QSv",51996,578580
1324490426649317376,2020-11-05 23:15:00,"The people will not be silenced, be bullied, or surrender.

Every vote must be counted.",48372,573533
1324469173297303552,2020-11-05 21:50:33,I spent the afternoon attending briefings on the ongoing COVID-19 crisis and the state of the economy. Tune in as I… https://t.co/dtX1uh07BR,10559,144778
1324467777470558208,2020-11-05 21:45:00,"I ask people to stay calm. 
The process is working. 
The count is being completed.",37840,570192
1324465078243151885,2020-11-05 21:34:16,"Democracy is sometimes messy, so sometimes it requires a little patience. 

But that patience has been rewarded now… https://t.co/0opVsWn5Yh",20609,288228
1324445128434438145,2020-11-05 20:15:00,We’re fighting to ensure every last vote is counted across the country — and we need your help to do it. Chip in to… https://t.co/VmZNdEUpWO,6135,82402
1324430028860493826,2020-11-05 19:15:00,"Let me be clear: I campaigned as a proud Democrat, but I will govern as an American president. https://t.co/Mv5hHI2Rb3",27755,397293
1324406121721786369,2020-11-05 17:40:00,"Be patient, folks. Votes are being counted, and we feel good about where we are.",60710,919881
1324384344962592769,2020-11-05 16:13:28,"As votes continue to be counted across the country, tune in as my campaign manager @jomalleydillon and campaign adv… https://t.co/gUpMTSz6sN",5237,58518
1324341948568621056,2020-11-05 13:25:00,Every vote must be counted. https://t.co/kWLGRfeePK,21178,235735
1324187178688196609,2020-11-05 03:10:00,Donald Trump does not decide the outcome of this election and nor do I. The American people decide. That’s why we’v… https://t.co/ejbKPxzNFl,13087,162995
1324179628932562944,2020-11-05 02:40:00,"I’m confident that we will emerge victorious.

But this will not be my victory alone.

It will be a victory for the… https://t.co/rTbUkEMYjV",20126,251202
1324172079025934336,2020-11-05 02:10:00,"It’s clear that when the count is finished, we believe we will be the winners. https://t.co/qVk0igZlrF",23117,278798
1324158992877154310,2020-11-05 01:18:00,"Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Admini… https://t.co/7dT22UeN7h",93590,768790
1324136846826364929,2020-11-04 23:50:00,"Keep faith in the process and in each other. Together, we will win this.",53213,710982
1324115456190459911,2020-11-04 22:25:00,"I am confident we will emerge victorious, but this will not be my victory or our victory alone. It will be a victor… https://t.co/8YtZ4xtBlO",45264,536473
1324112939310264322,2020-11-04 22:15:00,"To make progress, we have to stop treating our opponents as enemies. We are not enemies.",55023,641525
1324110423411490816,2020-11-04 22:05:00,"Once this election is finalized and behind us, it will be time for us to do what we've always done as Americans: To… https://t.co/oohGcKvxPC",18644,302043
1324107906246086656,2020-11-04 21:55:00,"Every vote must be counted. No one is going to take our democracy away from us, not now, not ever.",48006,514621
1324105390049488896,2020-11-04 21:45:00,"The presidency, itself, is not a partisan institution. It's the one office in the nation that represents everyone a… https://t.co/pt3GG5tnIa",24826,287046
1324103124768882689,2020-11-04 21:36:00,"Power can't be taken or asserted, it flows from the people, and it's their will that determines who will be the Pre… https://t.co/TTCVXGQC70",52996,534941
1324095643116163072,2020-11-04 21:06:16,Tune in as I address the nation on the state of the race. https://t.co/00QtuYAiI7,10014,92151
1324066382846320641,2020-11-04 19:10:00,Count every vote.,133303,1178872
1324062214412767232,2020-11-04 18:53:26,RT @TeamJoe: Here are the facts... https://t.co/UgZ5bDqLU2,6863,0
1324057905667149826,2020-11-04 18:36:19,"To make sure every vote is counted, we’re setting up the largest election protection effort ever assembled. Because… https://t.co/ILg4kN6OKX",23506,195163
1324006410745569282,2020-11-04 15:11:41,We won't rest until everyone's vote is counted. Tune in as my campaign manager @jomalleydillon and campaign adviser… https://t.co/YZySeY7NaB,9534,109477
1323868327744253952,2020-11-04 06:03:00,We feel good about where we are. We believe we are on track to win this election.,46099,702050
1323867320826109954,2020-11-04 05:59:00,It's not my place or Donald Trump's place to declare the winner of this election. It's the voters' place.,72280,763334
1323865811031785472,2020-11-04 05:53:00,"Keep the faith, guys. We’re gonna win this.",192363,1972337
1323862422084493312,2020-11-04 05:39:32,"Tune in as I speak to the nation live from Wilmington, Delaware. https://t.co/ye8knRucoz",6349,65962
1323813103012818946,2020-11-04 02:23:33,"RT @TeamJoe: CONDADO DE CLARK, NV 🚨 En algunos lugares, el horario de votación se ha extendido UNA hora hasta las 8 PM. Si estás en la fila…",1378,0
1323813088102146049,2020-11-04 02:23:30,"RT @TeamJoe: 🚨 CLARK COUNTY, NV 🚨 Polling hours have been extended in some locations by ONE hour to 8PM. If you’re in line by 8PM you can s…",3611,0
1323810798129610762,2020-11-04 02:14:24,"RT @TeamJoe: 🚨 EL CONDADO DE MARICOPA 🚨 ¿Estás en fila para votar?, quédate ahí. Si llegaste a la fila antes de las 7PM, ¡tienes garantizad…",1077,0
1323803877838364672,2020-11-04 01:46:54,"RT @TeamJoe: 🚨 MARICOPA COUNTY 🚨 waiting in line to vote? Stay put — if you’re in line before 7 PM, you are guaranteed your right to vote!…",7790,0
1323790702577373184,2020-11-04 00:54:32,"RT @TeamJoe: New Hampshire, if you are waiting at the polls — stay in line! If you’re in line, you are guaranteed your right to vote. RT to…",8810,0
1323788300176388096,2020-11-04 00:45:00,"Stay in line, folks.",75668,748688
1323770935728607237,2020-11-03 23:36:00,"As polls begin to close in certain parts of the country, remember to stay in line. 

If you’re in line at your poll… https://t.co/4Q1kkEjOUD",18023,118371
1323761880234553346,2020-11-03 23:00:01,"Folks, time is running out to make your voice heard in this election. If you haven’t voted yet, go to… https://t.co/10W1uvetZ2",4101,39266
1323753975221522433,2020-11-03 22:28:36,"This is our moment to prove that:

Love is more powerful than hate.
Hope is more powerful than fear.
Light is more… https://t.co/06Lg64VYUp",26185,193210
1323747783732535300,2020-11-03 22:04:00,"Let's win this thing, Pennsylvania! https://t.co/jmCXbuL5V3",15990,205838
