id,created_at,text,retweet,favorite
1325195021339987969,2020-11-07 21:54:48,"71,000,000 Legal Votes. The most EVER for a sitting President!",136801,807399
1325195021339987969,2020-11-07 21:54:48,"71,000,000 Legal Votes. The most EVER for a sitting President!",136829,807640
1325194709443080192,2020-11-07 21:53:34,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS… https://t.co/qGn3DXgDbb",109158,573897
1325099845045071873,2020-11-07 15:36:36,"I WON THIS ELECTION, BY A LOT!",184250,1126502
1325096422799237120,2020-11-07 15:23:00,Georgia Counties Using Same Software as Michigan Counties Also Encounter ‘Glitch’ https://t.co/N2KlEOezGi via… https://t.co/v92D9RW72p,73367,272575
1325087011464749056,2020-11-07 14:45:37,Big press conference today in Philadelphia at Four Seasons Total Landscaping — 11:30am!,68134,432710
1325067488695099397,2020-11-07 13:28:02,People were screaming STOP THE COUNT &amp; WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count… https://t.co/WWyuEGXArd,0,0
1325065549559291910,2020-11-07 13:20:20,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously &amp; crudely not allowed. Tractors… https://t.co/YIgUO3rjdO,0,0
1325065546342264834,2020-11-07 13:20:19,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought w… https://t.co/tlzXfrqdC6",0,0
1325065540390559745,2020-11-07 13:20:18,"Tens of thousands of votes were illegally received after 8 P.M. on Tuesday, Election Day, totally and easily changi… https://t.co/zSkoPnCE2q",0,0
1324933808022573060,2020-11-07 04:36:50,RT @realDonaldTrump: Incredibly stated Jim!,77653,0
1324933062174650369,2020-11-07 04:33:52,"RT @BuckSexton: Does anyone even try to make an argument why there is a good faith reason to block GOP poll watchers, or are we just suppos…",21469,0
1324931722165821440,2020-11-07 04:28:33,"RT @jsolomonReports: Detroit city worker blows whistle, claims ballots were ordered backdated. FBI probing. | Just The News
https://t.co/e8…",38763,0
1324931605106929664,2020-11-07 04:28:05,"RT @jsolomonReports: U.S. adds 638,000 jobs in October, unemployment rate drops to 6.9%, report | Just The News
https://t.co/QZtBD9Ic0l",13243,0
1324931200390193152,2020-11-07 04:26:28,"RT @paulsperry_: ‘Blindsided’: GOP elections board members in NC resign in protest over irregular absentee ballots

Democrats insisted on l…",18309,0
1324931041740664832,2020-11-07 04:25:51,RT @paulsperry_: BREAKING: Sources on the ground say Stacey Abrams has been involved in the monitoring of mail-in ballot and absentee ballo…,24144,0
1324930925843652608,2020-11-07 04:25:23,RT @paulsperry_: BREAKING: Mich Gov Whitmer sent health dept into Detroit TFC Center to evict GOP pollwatchers but not Dem pollwatchers or…,38380,0
1324930815474667520,2020-11-07 04:24:57,"RT @paulsperry_: Funny how CNN has suddenly stopped its ""COVID-COVID-COVID!"" drumbeat, isn't it? They've even taken down their death toll t…",23289,0
1324930659316621312,2020-11-07 04:24:19,RT @TomBevanRCP: It doesn't matter if Fox's call of AZ ends up being correct in the end. It was totally unnecessary to call it as early as…,14191,0
1324930390969167872,2020-11-07 04:23:15,RT @josepheschmitz: True Electoral Count Shows Trump Winning | https://t.co/BxH22yEHhR https://t.co/yMDO2hG1OI via @Newsmax,18080,0
1324930010235490304,2020-11-07 04:21:45,"RT @paulsperry_: BREAKING: Michigan county misdirected 1,000s of Trump votes to Biden
https://t.co/WKAIDTc6in",21693,0
1324929941998350336,2020-11-07 04:21:28,"RT @paulsperry_: Valid question Trump's legal team is asking:

How many people who requested and mailed in ballots near or on Election Day…",21379,0
1324929821776949248,2020-11-07 04:21:00,"RT @paulsperry_: Democrats will have to reconcile a couple other things, as well. To wit:

--If Biden's ground game was so nonexistent due…",14642,0
1324928993594896385,2020-11-07 04:17:42,"RT @dbongino: These errors only seem to ever happen in one direction. 👇 
https://t.co/tUxxxTbUJd",0,0
1324928487807995910,2020-11-07 04:15:42,"RT @dbongino: The Polls Were More Wrong in 2020 Than in 2016 👇👇
https://t.co/LpepzKdlp1",9498,0
1324927403811024896,2020-11-07 04:11:23,RT @Jim_Jordan: First win for election integrity!,31260,0
1324927258679767042,2020-11-07 04:10:49,Incredibly stated Jim! https://t.co/FNbZ71gsZx,77653,325145
1324901123996741634,2020-11-07 02:26:58,“We need an explanation as to how these numbers have been running up for the last two or three days.” Matthew Whitaker. @EveningEdit,64780,371437
1324855496722026498,2020-11-06 23:25:39,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear… https://t.co/g7HhpczcFL",100784,571824
1324846580147642369,2020-11-06 22:50:13,Joe Biden should not wrongfully claim the office of the President. I could make that claim also. Legal proceedings are just now beginning!,115256,661087
1324768077939118083,2020-11-06 17:38:17,Where are the missing military ballots in Georgia? What happened to them?,119130,638353
1324752659996397575,2020-11-06 16:37:01,"With the attack by the Radical Left Dems on the Republican Senate, the Presidency becomes even more important!",68219,413235
1324750568817102852,2020-11-06 16:28:42,"....has been able to render decisions in a matter of days.” Ken Starr, former Independent Counsel @Varneyco",27901,155734
1324750565092610048,2020-11-06 16:28:42,"....hopefully this will be corrected at the Supreme Court of the United States. Also, these late ballots past Elect… https://t.co/7QMFdXBOie",32807,175834
1324750561514848256,2020-11-06 16:28:41,"....Legislature. They just ignored that, ignored the Constitution. Now we bring it down to the counting houses, and… https://t.co/fxYHBrlGqg",18482,73838
1324750555059728384,2020-11-06 16:28:39,“This is what we know. We have to go back to the state level and how this morass came to be in the first instance.… https://t.co/ZkvzJjRF02,60033,265907
1324730186798161925,2020-11-06 15:07:43,“Philadelpiha has got a rotten history on election integrity.” @Varneyco @FoxBusiness,51987,312812
1324613375213621248,2020-11-06 07:23:33,"Twitter is out of control, made possible through the government gift of Section 230!",89685,497659
1324613181466173440,2020-11-06 07:22:47,"I easily WIN the Presidency of the United States with LEGAL VOTES CAST. The OBSERVERS were not allowed, in any way,… https://t.co/foZmvEwBtR",0,0
1324612560646262785,2020-11-06 07:20:19,"So now the Democrats are working to gain control of the U.S. Senate through their actions on John James, David Perd… https://t.co/nn38IxdJN4",67955,341294
1324541720583905286,2020-11-06 02:38:49,https://t.co/11BmRoMKa3,0,0
1324541695577436161,2020-11-06 02:38:43,https://t.co/U4x4etE097,0,0
1324541657665200129,2020-11-06 02:38:34,https://t.co/ityeypdGDi,34586,179333
1324541519873847296,2020-11-06 02:38:01,https://t.co/HhiK6eDVds,0,0
1324493225579696129,2020-11-05 23:26:07,News Conference at 6:30 P.M.,42419,397112
1324401527663058944,2020-11-05 17:21:45,STOP THE FRAUD!,0,0
1324386685858287616,2020-11-05 16:22:46,All of the recent Biden claimed States will be legally challenged by us for Voter Fraud and State Election Fraud. P… https://t.co/BJCwaSmtuv,0,0
1324382829535498244,2020-11-05 16:07:27,Big legal win in Pennsylvania!,86452,679568
1324377408552816640,2020-11-05 15:45:54,RT @realDonaldTrump: STOP THE COUNT!,120452,0
1324375607933833219,2020-11-05 15:38:45,"Jobless Claims Dip to 751,000, Lowest Since March https://t.co/dzuJpS78nb via @BreitbartNews",24265,138808
1324375334653988864,2020-11-05 15:37:40,Fmr NV AG Laxalt: ‘No Question‘ Trump Would Have Won Nevada ‘Convincingly‘ Without Mail-in Voting https://t.co/pm4Wpfr6x0 via @BreitbartNews,27680,124132
1324368202139357186,2020-11-05 15:09:19,ANY VOTE THAT CAME IN AFTER ELECTION DAY WILL NOT BE COUNTED!,0,0
1324353932022480896,2020-11-05 14:12:37,STOP THE COUNT!,120452,746600
1324139647111409667,2020-11-05 00:01:07,"Detroit Absentee Ballot Counting Chaos, Blocked Windows and Observers https://t.co/KzIwhbQrDt via @BreitbartNews",71663,250532
1324139387546984449,2020-11-05 00:00:05,Demands Arise for PA Attorney General to ‘Step Aside‘ https://t.co/jrED09zpK1 via @BreitbartNews,44528,173188
1324131291135168512,2020-11-04 23:27:55,"RT @GOPLeader: The Republican coalition is bigger, more diverse, and more energetic than ever before—thanks to President @realDonaldTrump.…",17799,0
1324130551234727936,2020-11-04 23:24:59,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the… https://t.co/HZ6WfKeLez",92335,536932
1324108206801563650,2020-11-04 21:56:11,.....there was a large number of secretly dumped ballots as has been widely reported!,0,0
1324108200141082624,2020-11-04 21:56:10,"We have claimed, for Electoral Vote purposes, the Commonwealth of Pennsylvania (which won’t allow legal observers)… https://t.co/tyDx2FcTzX",74567,355414
1324061986779504642,2020-11-04 18:52:32,"We are winning Pennsylvania big, but the PA Secretary of State just announced that there are “Millions of ballots left to be counted.”",63877,391545
1324059767581671425,2020-11-04 18:43:43,"Wow! It looks like Michigan has now found the ballots necessary to keep a wonderful young man, John James, out of t… https://t.co/YRUDx8kOAj",77803,421472
1324033983882166272,2020-11-04 17:01:15,"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear — ASAP. Likewise, Michigan and others!",0,0
1324032541544927233,2020-11-04 16:55:31,"They are finding Biden votes all over the place — in Pennsylvania, Wisconsin, and Michigan. So bad for our Country!",103140,630606
1324012341458075648,2020-11-04 15:35:15,WHAT IS THIS ALL ABOUT? https://t.co/6487pYLZnL,43072,161482
1324007806694023169,2020-11-04 15:17:14,How come every time they count Mail-In ballot dumps they are so devastating in their percentage and power of destruction?,88353,555861
1324004491612618752,2020-11-04 15:04:04,"Last night I was leading, often solidly, in many key States, in almost all instances Democrat run &amp; controlled. The… https://t.co/iHjUvC3kMO",0,0
1323889136571437056,2020-11-04 07:25:41,RT @TeamTrump: LIVE: President Donald J Trump https://t.co/J7hhaUPUf0,39441,0
1323864823680126977,2020-11-04 05:49:04,"We are up BIG, but they are trying to STEAL the Election. We will never let them do it. Votes cannot be cast after the Polls are closed!",0,0
1323864021167198209,2020-11-04 05:45:53,I will be making a statement tonight. A big WIN!,133784,928130
1323766095040385025,2020-11-03 23:16:46,"RT @GOP: There is still time to get out and cast your vote!
 
Find your polling location &amp; vote @realDonaldTrump to #MakeAmericaGreatAgainA…",9337,0
1323765884268224514,2020-11-03 23:15:55,WE ARE LOOKING REALLY GOOD ALL OVER THE COUNTRY. THANK YOU!,109749,960441
1323725991148167171,2020-11-03 20:37:24,"Get out &amp; VOTE! Under my Administration, our ECONOMY is growing at the fastest rate EVER at 33.1%. Next year will b… https://t.co/jhoE0iVIl4",28681,184375
1323714393184653323,2020-11-03 19:51:19,RT @realDonaldTrump: https://t.co/gsFSghkmdM https://t.co/ao85KjMeBW,22253,0
1323714331922583556,2020-11-03 19:51:04,RT @realDonaldTrump: https://t.co/gsFSgh2KPc https://t.co/gs5RMGGhDR,16590,0
1323714155967373312,2020-11-03 19:50:22,RT @realDonaldTrump: https://t.co/gsFSghkmdM https://t.co/Mu6grSAmV9,15121,0
1323714095225384962,2020-11-03 19:50:08,RT @realDonaldTrump: https://t.co/voxNnIYMpe,12600,0
1323713956280754182,2020-11-03 19:49:35,RT @realDonaldTrump: https://t.co/gsFSghkmdM https://t.co/EBtsPQznVV,15822,0
1323692020880297986,2020-11-03 18:22:25,https://t.co/zX4bqgtWqH,24758,137913
1323691984989622272,2020-11-03 18:22:16,https://t.co/SMaOF79kPV,29667,152299
1323684790894297089,2020-11-03 17:53:41,RT @BarstoolNewsN: The Amish are not playing around today https://t.co/S3vIy3oMYR,33195,0
1323680963310866435,2020-11-03 17:38:29,"A parade for me in Nigeria, a great honor! https://t.co/EHiSQMFvSZ",87091,513907
1323669746823372800,2020-11-03 16:53:54,https://t.co/oLOa4kC1i0,40107,206534
1323627228748460033,2020-11-03 14:04:57,https://t.co/gsFSghkmdM,19858,133162
1323534663453913093,2020-11-03 07:57:08,"VOTE! VOTE! VOTE!
https://t.co/85ySh1KYkh",171042,905075
1323528201428103168,2020-11-03 07:31:27,RT @PastorDScott: We need to set all time records in voter turnout tomorrow for President @realDonaldTrump ! VOTE Donald Trump for Presiden…,11981,0
1323528083995987968,2020-11-03 07:30:59,RT @PastorDScott: VOTE TRUMP!!!!!!,11138,0
