id,created_at,text,location,retweet,favorite
1325397728256520193,2020-11-08 11:20:17,RT @scaramuzza_d: God bless America! #Election2020 ❤️🇺🇸❤️ https://t.co/Yg8rjbBfe5,"Los Angeles, CA",12,0
1325397369966518273,2020-11-08 11:18:52,"RT @cenkuygur: Trump says he is willing to ""consider"" a peaceful transfer of power ""under some conditions"" according to @FoxNews. Here are…","Copenhagen, Denmark",1225,0
1325397244284170240,2020-11-08 11:18:22,"Well, @realDonaldTrump I think there’s no time for the victory dance moves. #Election2020 https://t.co/cS6G4GLlUf","Los Angeles, CA",0,2
1325397220884156417,2020-11-08 11:18:16,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",Felixstowe,811,0
1325397176617496577,2020-11-08 11:18:06,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",,107,0
1325397107096817664,2020-11-08 11:17:49,"RT @its_willyu: The first woman.
The first Black person.
The first South Asian person.
The daughter of Jamaican and Indian immigrants. 

Co…",,35,0
1325397106346110980,2020-11-08 11:17:49,"RT @AllCharisma: Is there a Cordy line for everything? Apparently so. 
#Btvs #Election2020 #Election2020results",,555,0
1325397070711296000,2020-11-08 11:17:41,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz","Faversham, Kent",811,0
1325396967103590402,2020-11-08 11:17:16,"RT @tastelesslady: This is the first time I remember hearing the word “transgender” when a president delivers a victory speech.
Well done,…",,35,0
1325396840871759873,2020-11-08 11:16:46,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",Wales,811,0
1325396701616726017,2020-11-08 11:16:13,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",,107,0
1325396207385145344,2020-11-08 11:14:15,"RT @DoctorJonPaul: This. 

This is what my work is for. This is who it is for! 

(Photo credit: @CreativeK) 

#Election2020 https://t.co/Uv…","Maryland, USA",26,0
1325396109280354304,2020-11-08 11:13:51,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",Danmark,811,0
1325395763266981888,2020-11-08 11:12:29,"RT @cenkuygur: Trump says he is willing to ""consider"" a peaceful transfer of power ""under some conditions"" according to @FoxNews. Here are…","Michigan, USA",1225,0
1325395678923808769,2020-11-08 11:12:09,RT @mariashriver: .@joebiden says we must restore the soul of our nation... it's time for our better angels to prevail #Election2020,"East London, South Africa",60,0
1325395600955748352,2020-11-08 11:11:50,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",Little Mix • Stray Kids,107,0
1325395510329446400,2020-11-08 11:11:28,"#Election2020 The announcement of a new administration in Washington, D.C. is the sunshine breaking through four years of dark clouds.","Huntington Beach, CA",0,0
1325395240706957313,2020-11-08 11:10:24,RT @feministabulous: This will be the new family in the White House. #Election2020 https://t.co/1rrHcM5dy7,Mumbai,118,0
1325395174109933568,2020-11-08 11:10:08,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",slytherin | aphrodite | infj,107,0
1325395038235398147,2020-11-08 11:09:36,"RT @AllCharisma: Is there a Cordy line for everything? Apparently so. 
#Btvs #Election2020 #Election2020results https://t.co/MVMBaH68Sn","Paris, France & Bourgogne",555,0
1325395012297875456,2020-11-08 11:09:30,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",,107,0
1325394946740916224,2020-11-08 11:09:14,"RT @JustinReager: I’m back on Twitter just to share this with y’all

#Georga #TrumpIsLosing #bidenharis2020 #Pennsylvania2020 #Savannah #El…",,177,0
1325394674433945600,2020-11-08 11:08:09,"RT @feministabulous: To hear a president talk about disability in his acceptance speech makes my heart explode. 

The bar was so low but it…",,167,0
1325394591718191105,2020-11-08 11:07:49,"RT @Zadi: Ok, just learned that one of @JoeBiden and @DrBiden’s dogs, Major, is a rescue dog and will be the first rescue dog in the White…",Jéjé l'omo Ekó n lo,295,0
1325394467734646791,2020-11-08 11:07:20,“We see him like an obese turtle on his back”🐢 #Election2020 https://t.co/kKz7EtvGrz,"Los Angeles, CA",0,1
1325394319864422401,2020-11-08 11:06:45,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",Europe - Portugal,107,0
1325394292500656131,2020-11-08 11:06:38,RT @cenkuygur: #PresidentElectJoeBiden just got the most votes ever in an American election. That means a record number of people voted aga…,New Zealand,924,0
1325394235575562244,2020-11-08 11:06:25,"RT @mariashriver: I’m weeping, this was such a great night for our country #Election2020",,283,0
1325394018411294720,2020-11-08 11:05:33,"RT @cenkuygur: Trump says he is willing to ""consider"" a peaceful transfer of power ""under some conditions"" according to @FoxNews. Here are…",New Zealand,1225,0
1325393985070837761,2020-11-08 11:05:25,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…",,107,0
1325393921954942981,2020-11-08 11:05:10,"RT @cenkuygur: Trump says he is willing to ""consider"" a peaceful transfer of power ""under some conditions"" according to @FoxNews. Here are…","London, United Kindgom",1225,0
1325393702399913985,2020-11-08 11:04:17,"RT @AllCharisma: Is there a Cordy line for everything? Apparently so. 
#Btvs #Election2020 #Election2020results https://t.co/MVMBaH68Sn","Jyväskylä, Finland",555,0
1325393677280284675,2020-11-08 11:04:11,"RT @AllCharisma: Is there a Cordy line for everything? Apparently so. 
#Btvs #Election2020 #Election2020results",Houston,555,0
1325393350170537984,2020-11-08 11:02:53,"RT @mariashriver: I’m weeping, this was such a great night for our country #Election2020","Lone Mountain, Las Vegas",283,0
1325393318629531648,2020-11-08 11:02:46,RT @mariashriver: I’m sitting here waiting to watch the very first female Vice President @KamalaHarris speak. I’m so excited and I feel dee…,All on his mouth like liquor,194,0
1325392624119762944,2020-11-08 11:00:00,"RT @cenkuygur: For every #MAGA clown who said that libs had a meltdown in 2016, what do you call what Trump is doing now? The most childish…",New Zealand,1223,0
1325392603362316288,2020-11-08 10:59:55,RT @feministabulous: This will be the new family in the White House. #Election2020 https://t.co/1rrHcM5dy7,All on his mouth like liquor,118,0
1325392520537366530,2020-11-08 10:59:36,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",,811,0
1325392449632690176,2020-11-08 10:59:19,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz","Washington, DC",811,0
1325392365167800325,2020-11-08 10:58:59,"RT @AllCharisma: Is there a Cordy line for everything? Apparently so. 
#Btvs #Election2020 #Election2020results","Runcorn, England",555,0
1325392275724136448,2020-11-08 10:58:37,"RT @robertmanion: Tonight I wish you nothing but hope and joy. Embrace it wholeheartedly. It may be temporary, there is a lot that still ne…",she/her ❤️,9,0
1325392270183555072,2020-11-08 10:58:36,"RT @mariashriver: I’m weeping, this was such a great night for our country #Election2020",,283,0
1325392255008518145,2020-11-08 10:58:32,RT @BAHjournalist: We should all be thanking Stacey Abrams for this close Georgia race. She's the reason Georgia may flip blue for Biden.…,London,7126,0
1325392227791724544,2020-11-08 10:58:26,"Let him dance on HIS LAND! 👏🏼 This made me cry happy tears, so beautiful. One of the most beautiful and interesting cultures right there! Bless him and his tribe and all the other tribes and their anchestors ❤️ #NativeAmericans #Election2020 https://t.co/9j7DgUcp6U","Los Angeles, CA",0,0
1325392213455622144,2020-11-08 10:58:22,"RT @cenkuygur: Trump says he is willing to ""consider"" a peaceful transfer of power ""under some conditions"" according to @FoxNews. Here are…",Spain,1225,0
1325392178168930305,2020-11-08 10:58:14,"Trump should be banned from Twitter. He is a danger to citizens.

#BidenHarris2020 #Election2020 @Potus #Presseclub","Los Angeles, CA",0,1
1325392167293100032,2020-11-08 10:58:11,"RT @Greg_Palast: Trump's lead in Georgia is down to 0.2% or just 9,426 votes. This election would be over if it wasn't for The Purge:

340,…",,565,0
1325391966394265600,2020-11-08 10:57:24,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",Europe,811,0
1325391667915001856,2020-11-08 10:56:12,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",Berlin,811,0
1325391519147241472,2020-11-08 10:55:37,RT @DominikBagdi: How Donald Trump is gonna leave the white house.🍼 #Election2020 https://t.co/9aB6Tn4qpK,"Doncaster, England",2,0
1325391484175183873,2020-11-08 10:55:29,"RT @toldyousophie: The billboard switches from Biden to Little Mix and I can’t get over it 👏
#Confetti #Election2020 @LittleMix https://t.c…", ✈,107,0
1325391161977167872,2020-11-08 10:54:12,"RT @tastelesslady: This is the first time I remember hearing the word “transgender” when a president delivers a victory speech.
Well done,…",,35,0
1325391129139957760,2020-11-08 10:54:04,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz","Ipswich, England",811,0
1325391060131065856,2020-11-08 10:53:47,"RT @JustinReager: I’m back on Twitter just to share this with y’all

#Georga #TrumpIsLosing #bidenharis2020 #Pennsylvania2020 #Savannah #El…",France,177,0
1325391051499171841,2020-11-08 10:53:45,"RT @feministabulous: The man who mocked disability got replaced with a leader who embraces it. 

#Election2020 https://t.co/6CBe3o37uz",,811,0
1325390697411858432,2020-11-08 10:52:21,"RT @JulianHiggins: Wow, Joe Biden's team really went all out on that outro show! (aka, I made a dumb thing.😀)

#Election2020 #Ghostbusters…",,3,0
1325390654080479235,2020-11-08 10:52:11,RT @DominikBagdi: How Donald Trump is gonna leave the white house.🍼 #Election2020 https://t.co/9aB6Tn4qpK,He/Him,2,0
1325390178333102080,2020-11-08 10:50:17,RT @TheAdvocateMag: Somebody on #TeamBiden is a @SchittsCreek fan. #Election2020 https://t.co/WUszkHzZUj,,27,0
1325390070099173376,2020-11-08 10:49:51,"RT @cenkuygur: For every #MAGA clown who said that libs had a meltdown in 2016, what do you call what Trump is doing now? The most childish…","Media, PA",1223,0
1325389811503476736,2020-11-08 10:48:50,"RT @robertmanion: Tonight I wish you nothing but hope and joy. Embrace it wholeheartedly. It may be temporary, there is a lot that still ne…",,9,0
1325389799641866240,2020-11-08 10:48:47,"RT @sandela: To folks saying that the results &amp; speeches signify unity: yes, Trump lost the election and that's good. But it's no reason to…","Musqueam territory, Vancouver",96,0
1325389743291592704,2020-11-08 10:48:34,"RT @AllCharisma: Is there a Cordy line for everything? Apparently so. 
#Btvs #Election2020 #Election2020results https://t.co/MVMBaH68Sn",,555,0
