id,created_at,text,location,retweet,favorite
1323385421502554114,2020-11-02 22:04:06,"RT @YouGovAmerica: Results from our final update to the 2020 presidential election model:

ELECTORAL COLLEGE
Biden 364 / Trump 174

POPULAR…",London,367,0
1323385421456314369,2020-11-02 22:04:06,"Tune into @Newsday for full Election coverage w/@FJessieTweets @DrewScott_TV @joyebrown @YanceyRoy @Laura_Figueroa from its brand new TV studio! See you at https://t.co/1c8LHh7TL3, coverage begins tomorrow at 9pm EST! #LIVotes #Election2020 https://t.co/grdCWJQOop",New York,0,0
1323385394411540481,2020-11-02 22:03:59,"For #Election2020, I'll be part of the @Electionland team, helping to report on how the voting process is going around the country. Tell us about your voting experience at https://t.co/GtNfim3LDd and these other channels 👇 https://t.co/TrsFW0t3zm",New York,0,1
1323385391580405760,2020-11-02 22:03:59,"The President's website was #hacked, defaced, and replaced with a cryptocurrency #scam. How did this happen?! https://t.co/cJbl8O0CiP #president #election2020","Clifton, NJ USA",0,0
1323385372454236160,2020-11-02 22:03:54,RT @Varneyco: Will President #Trump get more support from #black #voters in this #election compared to 2016? @TezlynFigaro says that like w…,"Pasadena, CA",3,0
1323385325117415424,2020-11-02 22:03:43,"RT @Rasmussen_Poll: White House Watch: Biden 48%, Trump 47%... https://t.co/ZjDCIgluXu #BreakingPoll #Election2020 https://t.co/yw7rtxJttx","London, England",70,0
1323385305303535616,2020-11-02 22:03:38,@JoeBiden Biden Biden the pedophile. Let’s save our children’s and vote No to Biden #Elecciones2020 #Election2020 #MAGA2020 #notobiden https://t.co/VTNw1RfEs6,"Florida, USA",0,0
1323385264836890626,2020-11-02 22:03:29,RT @YouGovAmerica: Voters are more concerned about valid mail ballots not being counted (52%) than fraudulent ballots being counted (34%).…,"Leeds, England",1,0
1323385257052106752,2020-11-02 22:03:27,"RT @Princeton: “Before the Ballot” is a podcast series designed to educate voters before they #vote, featuring @PrincetonSPIA faculty exper…",,13,0
1323385244255457280,2020-11-02 22:03:24,RT @JumptuitNow: ELECTION WATCH ALERT: #Michigan base of support for #TRUMP2020 continues to trend higher outpacing Trump2016 in this key b…,"Manhattan, NY",4,0
1323385242388975616,2020-11-02 22:03:23,RT @erikkaneboi: KEEP AMERICA GREAT! President Trump Hype video. 🇺🇸 #Trump2020LandslideVictory #Trump #MAGA #KAG #Trump2020 #Election2020 h…,,1,0
1323385229474746369,2020-11-02 22:03:20,"RT @YouGovAmerica: 71% of voters say we should wait for all mail-in ballots to be counted, even if the process drags on for some time:

Bid…","Leeds, England",20,0
1323385216036151298,2020-11-02 22:03:17,This...says it all. #Election2020 https://t.co/s7P8GJ7s2U,"Georgia, USA",0,0
1323385209715384320,2020-11-02 22:03:15,RT @AngelaBelcamino: Raise your hand if you're voting for Joe Biden in 1 day. #Election2020,,131,0
1323385205101658117,2020-11-02 22:03:14,RT @JumptuitNow: ELECTION WATCH ALERT: #Pennsylvania base of support for #TRUMP2020 continues to trend higher outpacing Trump2016 in this k…,"Manhattan, NY",5,0
